TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:20.61,0.679374389051808,-0.25,24.55,25.66
00:20.66,0.698924731182796,-0.24,23.17,24.02
00:20.72,0.72336265884653,-0.24,25.02,24.02
00:20.77,0.708699902248289,-0.24,25.48,25.25
00:20.82,0.684261974584555,-0.24,25.48,24.43
00:20.88,0.674486803519062,-0.38,25.48,26.90
00:20.93,0.698924731182796,0.01,23.63,24.84
00:20.98,0.718475073313783,-0.24,26.40,24.43
00:21.04,0.698924731182796,0.15,25.02,25.25
00:21.09,0.694037145650049,-0.12,25.02,24.43
00:21.14,0.679374389051808,-0.24,25.02,24.43
00:21.20,0.694037145650049,-0.24,23.63,24.43
00:21.25,0.718475073313783,-0.09,25.94,24.02
00:21.30,0.703812316715543,-0.24,26.40,24.43
00:21.36,0.689149560117302,-0.09,24.55,25.25
00:21.41,0.674486803519062,-0.24,22.70,25.66
00:21.46,0.698924731182796,-0.11,22.70,24.02
00:21.51,0.733137829912023,-0.24,26.40,24.84
00:21.57,0.718475073313783,-0.11,26.40,24.84
00:21.62,0.698924731182796,0.16,25.02,25.25
00:21.67,0.674486803519062,0.3,25.48,24.02
00:21.73,0.698924731182796,0.44,23.63,25.25
00:21.78,0.713587487781036,0.43,23.17,23.19
00:21.83,0.713587487781036,0.43,25.02,24.43
00:21.89,0.694037145650049,0.44,25.48,24.02
00:21.94,0.689149560117302,0.44,25.48,24.84
00:22.00,0.694037145650049,0.31,24.55,24.84
00:22.05,0.718475073313783,0.3,26.40,24.02
00:22.10,0.718475073313783,0.31,25.02,24.43
00:22.15,0.694037145650049,0.31,26.87,24.43
00:22.21,0.669599217986315,0.3,23.17,26.49
00:22.26,0.689149560117302,0.3,23.17,24.43
00:22.31,0.718475073313783,0.3,25.48,24.43
00:22.37,0.718475073313783,0.3,25.48,24.02
00:22.42,0.698924731182796,0.17,25.94,27.31
00:22.47,0.664711632453568,0.17,25.02,25.25
00:22.53,0.684261974584555,0.03,25.02,22.78
00:22.58,0.698924731182796,0.03,25.02,24.02
00:22.63,0.713587487781036,0.03,26.40,24.84
00:22.69,0.698924731182796,-0.01,25.48,25.25
00:22.74,0.669599217986315,0.03,26.40,24.84
00:22.79,0.684261974584555,0.02,24.09,24.84
00:22.85,0.708699902248289,-0.24,24.55,25.25
00:22.90,0.713587487781036,-0.11,26.40,24.02
00:22.95,0.694037145650049,-0.24,25.94,25.25
00:23.01,0.664711632453568,-0.24,25.02,25.66
00:23.06,0.694037145650049,-0.11,24.55,24.43
00:23.11,0.708699902248289,-0.24,25.48,24.43
00:23.17,0.718475073313783,-0.24,29.18,24.02
00:23.22,0.694037145650049,-0.25,27.33,25.25
00:23.27,0.689149560117302,-0.38,25.94,25.25
00:23.33,0.689149560117302,-0.12,23.63,24.84
00:23.38,0.703812316715543,0.15,25.48,24.84
00:23.43,0.713587487781036,-0.24,26.40,24.43
00:23.49,0.708699902248289,-0.11,25.48,25.66
00:23.54,0.674486803519062,-0.25,24.09,25.25
00:23.59,0.689149560117302,-0.24,25.02,22.78
00:23.64,0.703812316715543,-0.25,22.70,24.84
00:23.70,0.733137829912023,-0.15,26.40,24.84
00:23.75,0.703812316715543,-0.15,26.40,25.25
00:23.80,0.674486803519062,-0.12,27.79,24.84
00:23.86,0.679374389051808,-0.11,23.63,24.84
00:23.91,0.698924731182796,-0.11,22.70,26.49
00:23.97,0.72336265884653,0.03,25.02,23.61
00:24.02,0.703812316715543,0.02,25.02,23.61
00:24.07,0.679374389051808,0.03,23.63,24.84
00:24.12,0.689149560117302,0.02,24.55,24.43
00:24.18,0.698924731182796,-0.11,25.48,24.84
